course_id,module_id,module_title,primary_track,primary_play_id,primary_play_title,primary_relationship_type,how_primary_lesson_informs_play,primary_lesson_page_note,secondary_play_ids,secondary_play_titles
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,1,Vision & Guardrails,prepares_for_play,"This lesson helps learners apply introduction to ai concepts while completing Vision & Guardrails activities, decisions, documentation, or review steps.",This lesson informs Play 1 by helping learners connect the lesson topic to vision & guardrails work in the AI Playbook sequence.,3; 11,Establish AI Governance; Build and Deploy AI Solutions
OPS 310,ops-310-measuring-ai-value-performance-and-operational-impact,"Measuring AI Value, Performance, and Operational Impact",Operations and Data Quality Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply measuring ai value, performance, and operational impact concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 7; 13,Readiness Assessment; Prioritize Use Cases; Monitor and Evaluate AI Systems
OPS 320,ops-320-operational-monitoring-and-continuous-improvement-for-ai,Operational Monitoring and Continuous Improvement for AI,Operations and Data Quality Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply operational monitoring and continuous improvement for ai concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
PMG 200,pmg-200-business-analysis-for-ai-enabled-public-health-systems,Business Analysis for AI-Enabled Public Health Systems,Program Management Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply business analysis for ai-enabled public health systems concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
PMG 210,pmg-210-requirements-writing-for-ai-procurement-and-implementation,Requirements Writing for AI Procurement and Implementation,Program Management Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply requirements writing for ai procurement and implementation concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 7; 3,Readiness Assessment; Prioritize Use Cases; Establish AI Governance
PMG 220,pmg-220-ai-project-management-and-implementation-planning,AI Project Management and Implementation Planning,Program Management Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai project management and implementation planning concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
PMG 300,pmg-300-ai-vendor-implementation-management,AI Vendor Implementation Management,Program Management Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai vendor implementation management concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
PMG 310,pmg-310-grant-and-funding-management-for-ai-projects,Grant and Funding Management for AI Projects,Program Management Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply grant and funding management for ai projects concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
POL 300,pol-300-public-health-ai-policy-landscape-and-regulatory-readiness,Public Health AI Policy Landscape and Regulatory Readiness,Policy Role-Based Track,3,Establish AI Governance,provides_governance_context,"This lesson helps learners apply public health ai policy landscape and regulatory readiness concepts while completing Establish AI Governance activities, decisions, documentation, or review steps.",This lesson informs Play 3 by helping learners connect the lesson topic to establish ai governance work in the AI Playbook sequence.,12; 11; 8,Execute Governance and Oversight; Build and Deploy AI Solutions; Develop a Funding Strategy
POL 310,pol-310-ai-policy-development-and-approval-workflow,AI Policy Development and Approval Workflow,Policy Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai policy development and approval workflow concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
POL 320,pol-320-ai-authority-liability-and-public-health-decision-making,"AI Authority, Liability, and Public Health Decision-Making",Policy Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai authority, liability, and public health decision-making concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
POL 330,pol-330-ai-equity-policy-and-civil-rights-considerations,AI Equity Policy and Civil Rights Considerations,Policy Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai equity policy and civil rights considerations concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
GOV 100,gov-100-introduction-to-ai-governance-for-public-health,Introduction to AI Governance for Public Health,Governance and Security Track,3,Establish AI Governance,provides_governance_context,"This lesson helps learners apply introduction to ai governance for public health concepts while completing Establish AI Governance activities, decisions, documentation, or review steps.",This lesson informs Play 3 by helping learners connect the lesson topic to establish ai governance work in the AI Playbook sequence.,7; 12; 4,Prioritize Use Cases; Execute Governance and Oversight; Engage Stakeholders
GOV 110,gov-110-respecting-tribal-sovereignty-and-indigenous-data-governance-in-public-health-ai-projects,Respecting Tribal Sovereignty and Indigenous Data Governance in Public Health AI Projects,Governance and Security,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply respecting tribal sovereignty and indigenous data governance in public health ai projects concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,3; 7; 8,Establish AI Governance; Prioritize Use Cases; Develop a Funding Strategy
